Order Date,Product ID,Product,Quantity,Price,Cost,Discount,Revenue,Profit,Delivery Time (Days),Returned,Customer Name,Region
2024-01-23,P1005,Wardrobe,4,1500,250,0.18,4920.0,4100.0,6,0,Henry Hughes,London
2024-08-23,P1008,TV Stand,5,350,60,0.06,1645.0,1363.0,8,0,Poppy Edwards,South East
2023-11-12,P1000,Sofa,1,1200,300,0.18,984.0000000000001,738.0,14,1,Daniel Cooper,London
2023-01-14,P1002,Armchair,2,500,80,0.15,850.0,714.0,10,0,Noah Jones,South East
2023-08-30,P1006,Bookshelf,2,300,50,0.22,468.0,390.0,11,0,Mia Brown,Wales
2025-02-15,P1008,TV Stand,3,350,60,0.23,808.5,669.9,2,0,Isla Davies,South West
2024-07-18,P1001,Dining Table,4,900,150,0.02,3528.0,2940.0,14,0,Riley Moore,North West
2025-06-16,P1005,Wardrobe,3,1500,250,0.09,4095.0,3412.5,3,0,Daniel Cooper,North West
2023-04-02,P1006,Bookshelf,2,300,50,0.23,462.0,385.0,4,0,Finley Thompson,Wales
2025-08-13,P1000,Sofa,4,1200,300,0.18,3936.0000000000005,2952.0,6,0,Isla Davies,London
2024-05-23,P1008,TV Stand,4,350,60,0.0,1400.0,1160.0,2,1,Daniel Cooper,North West
2025-02-14,P1008,TV Stand,4,350,60,0.18,1148.0,951.2,12,0,Theo Clarke,Midlands
2023-02-04,P1002,Armchair,5,500,80,0.05,2375.0,1995.0,12,0,Liam Mitchell,London
2023-07-25,P1008,TV Stand,2,350,60,0.08,644.0,533.6,5,0,Quinn Bailey,South West
2025-10-22,P1009,Chest of Drawers,4,600,100,0.17,1992.0,1660.0,12,0,Katie Adams,Wales
2025-10-18,P1000,Sofa,2,1200,300,0.13,2088.0,1566.0,3,0,Daniel Cooper,North East
2024-07-19,P1004,Bed Frame,3,1000,200,0.19,2430.0,1944.0000000000002,3,0,Henry Hughes,South West
2024-12-03,P1003,Coffee Table,2,200,40,0.01,396.0,316.8,10,0,Sophie Hall,South East
2024-02-06,P1001,Dining Table,3,900,150,0.04,2592.0,2160.0,4,0,Poppy Edwards,South East
2024-12-30,P1008,TV Stand,5,350,60,0.18,1435.0,1189.0,12,0,Ella Robinson,London
2023-06-11,P1007,Office Desk,1,800,120,0.19,648.0,550.8000000000001,4,0,Riley Moore,London
2023-07-21,P1004,Bed Frame,5,1000,200,0.04,4800.0,3840.0,3,0,Quinn Bailey,Scotland
2025-09-22,P1003,Coffee Table,5,200,40,0.22,780.0,624.0,9,0,Riley Moore,Midlands
2023-09-27,P1004,Bed Frame,1,1000,200,0.05,950.0,760.0,6,0,Mia Brown,North East
2025-03-26,P1007,Office Desk,2,800,120,0.08,1472.0,1251.2,2,0,Quinn Bailey,Wales
2024-03-31,P1001,Dining Table,1,900,150,0.21,711.0,592.5,7,0,Henry Hughes,Midlands
2025-10-13,P1001,Dining Table,3,900,150,0.22,2106.0,1755.0,3,0,Katie Adams,South West
2023-10-23,P1009,Chest of Drawers,2,600,100,0.18,984.0000000000001,820.0000000000001,8,0,Riley Moore,Midlands
2024-12-20,P1009,Chest of Drawers,4,600,100,0.1,2160.0,1800.0,7,0,Henry Hughes,South West
2023-12-04,P1001,Dining Table,3,900,150,0.02,2646.0,2205.0,9,0,Ben Taylor,Midlands
2025-05-28,P1001,Dining Table,5,900,150,0.03,4365.0,3637.5,9,0,Ben Taylor,North East
2025-03-02,P1001,Dining Table,3,900,150,0.16,2268.0,1890.0,3,0,Quinn Bailey,Midlands
2023-08-05,P1004,Bed Frame,4,1000,200,0.02,3920.0,3136.0,9,1,Poppy Edwards,Midlands
2025-02-02,P1008,TV Stand,4,350,60,0.0,1400.0,1160.0,12,0,Ella Robinson,Wales
2023-07-07,P1003,Coffee Table,2,200,40,0.02,392.0,313.6,13,1,Poppy Edwards,Scotland
2024-01-15,P1003,Coffee Table,3,200,40,0.08,552.0,441.6,9,0,Daniel Cooper,South East
2024-05-07,P1006,Bookshelf,2,300,50,0.22,468.0,390.0,5,0,Liam Mitchell,Scotland
2023-01-15,P1006,Bookshelf,3,300,50,0.23,693.0,577.5,3,0,Olivia Green,South West
2023-03-06,P1001,Dining Table,2,900,150,0.04,1728.0,1440.0,9,0,Ben Taylor,Scotland
2024-06-04,P1005,Wardrobe,4,1500,250,0.2,4800.0,4000.0,6,0,Daniel Cooper,Midlands
2024-10-09,P1003,Coffee Table,2,200,40,0.24,304.0,243.2,13,0,Grace Walker,Wales
2024-08-15,P1002,Armchair,1,500,80,0.14,430.0,361.2,4,0,Noah Jones,London
2024-01-27,P1004,Bed Frame,4,1000,200,0.04,3840.0,3072.0,5,0,Olivia Green,Midlands
2024-02-23,P1001,Dining Table,3,900,150,0.16,2268.0,1890.0,4,0,Olivia Green,South East
2023-10-16,P1000,Sofa,5,1200,300,0.05,5700.0,4275.0,4,0,Riley Moore,South West
2024-01-14,P1001,Dining Table,2,900,150,0.13,1566.0,1305.0,10,0,Henry Hughes,London
2023-08-19,P1006,Bookshelf,5,300,50,0.2,1200.0,1000.0,13,0,Poppy Edwards,Wales
2025-10-14,P1003,Coffee Table,1,200,40,0.12,176.0,140.8,12,0,Mia Brown,South West
2023-02-10,P1002,Armchair,2,500,80,0.1,900.0,756.0,13,0,Mia Brown,South West
2023-05-15,P1006,Bookshelf,5,300,50,0.17,1245.0,1037.5,11,1,Isla Davies,Wales
2023-07-20,P1004,Bed Frame,3,1000,200,0.21,2370.0,1896.0,10,0,Noah Jones,Wales
2025-02-18,P1002,Armchair,2,500,80,0.21,790.0,663.6,7,0,Grace Walker,North West
2025-07-18,P1003,Coffee Table,3,200,40,0.09,546.0,436.8,12,0,Ben Taylor,South West
2024-05-17,P1005,Wardrobe,2,1500,250,0.23,2310.0,1925.0,2,0,Ben Taylor,South West
2024-02-11,P1009,Chest of Drawers,2,600,100,0.15,1020.0,850.0,6,0,Poppy Edwards,London
2025-03-15,P1000,Sofa,4,1200,300,0.15,4080.0,3060.0,9,0,Quinn Bailey,South East
2023-04-09,P1002,Armchair,5,500,80,0.14,2150.0,1806.0,12,0,Charlotte Evans,South East
2024-11-14,P1003,Coffee Table,4,200,40,0.05,760.0,608.0,6,0,Mia Brown,South East
2024-12-26,P1009,Chest of Drawers,1,600,100,0.11,534.0,445.0,3,1,Henry Hughes,South West
2025-08-18,P1009,Chest of Drawers,1,600,100,0.04,576.0,480.0,8,0,Charlotte Evans,Scotland
2024-09-04,P1009,Chest of Drawers,5,600,100,0.25,2250.0,1875.0,4,0,Sophie Hall,North East
2024-10-04,P1004,Bed Frame,4,1000,200,0.17,3320.0,2656.0,3,0,Grace Walker,North East
2025-10-25,P1003,Coffee Table,3,200,40,0.18,492.00000000000006,393.6,4,0,Isla Davies,Scotland
2024-05-17,P1002,Armchair,1,500,80,0.04,480.0,403.2,6,0,Jack Wilson,Wales
2025-02-05,P1005,Wardrobe,3,1500,250,0.0,4500.0,3750.0,13,0,Charlotte Evans,South West
2024-02-02,P1007,Office Desk,1,800,120,0.22,624.0,530.4,7,0,Theo Clarke,South East
2025-05-20,P1001,Dining Table,5,900,150,0.07,4185.0,3487.4999999999995,14,1,Riley Moore,Midlands
2025-03-05,P1008,TV Stand,5,350,60,0.14,1505.0,1247.0,11,0,Isla Davies,London
2024-01-28,P1005,Wardrobe,3,1500,250,0.13,3915.0,3262.5,10,0,Charlotte Evans,Midlands
2023-07-26,P1005,Wardrobe,2,1500,250,0.17,2490.0,2075.0,12,0,Jack Wilson,London
2025-06-10,P1007,Office Desk,4,800,120,0.22,2496.0,2121.6,10,0,Riley Moore,North West
2025-05-13,P1009,Chest of Drawers,3,600,100,0.1,1620.0,1350.0,6,0,Quinn Bailey,South West
2025-01-12,P1008,TV Stand,2,350,60,0.02,686.0,568.4,2,0,Jack Wilson,South East
2024-07-17,P1002,Armchair,4,500,80,0.23,1540.0,1293.6000000000001,4,0,Isla Davies,South East
2025-10-17,P1001,Dining Table,5,900,150,0.17,3735.0,3112.5,8,0,Riley Moore,London
2023-04-06,P1004,Bed Frame,4,1000,200,0.21,3160.0,2528.0,14,0,Jack Wilson,Midlands
2024-04-29,P1005,Wardrobe,3,1500,250,0.17,3735.0,3112.5,12,0,Grace Walker,North West
2023-08-19,P1008,TV Stand,4,350,60,0.0,1400.0,1160.0,8,0,Poppy Edwards,North West
2025-01-18,P1000,Sofa,2,1200,300,0.11,2136.0,1602.0,10,0,Charlotte Evans,Scotland
2024-06-24,P1004,Bed Frame,1,1000,200,0.23,770.0,616.0,8,0,Ben Taylor,South West
2024-06-08,P1005,Wardrobe,4,1500,250,0.21,4740.0,3950.0,3,0,Ella Robinson,North West
2024-07-31,P1002,Armchair,5,500,80,0.16,2100.0,1764.0,13,0,Olivia Green,Scotland
2024-11-12,P1008,TV Stand,3,350,60,0.16,882.0,730.8,2,0,Alice Carter,South East
2024-07-10,P1001,Dining Table,4,900,150,0.23,2772.0,2310.0,8,0,Ella Robinson,South West
2025-10-09,P1005,Wardrobe,3,1500,250,0.13,3915.0,3262.5,14,0,Sophie Hall,London
2024-10-07,P1006,Bookshelf,5,300,50,0.24,1140.0,950.0,6,0,Ella Robinson,South West
2025-03-06,P1004,Bed Frame,5,1000,200,0.13,4350.0,3480.0,4,0,Liam Mitchell,South West
2023-07-09,P1005,Wardrobe,3,1500,250,0.25,3375.0,2812.5,8,0,Grace Walker,Midlands
2024-09-24,P1001,Dining Table,2,900,150,0.11,1602.0,1335.0,5,0,Liam Mitchell,Scotland
2024-09-19,P1009,Chest of Drawers,3,600,100,0.16,1512.0,1260.0,13,0,Ella Robinson,Midlands
2025-08-30,P1002,Armchair,3,500,80,0.08,1380.0,1159.2,11,0,Finley Thompson,Scotland
2024-12-10,P1000,Sofa,5,1200,300,0.17,4980.0,3735.0,14,0,Finley Thompson,North East
2024-10-10,P1006,Bookshelf,2,300,50,0.22,468.0,390.0,4,0,Henry Hughes,North West
2023-11-14,P1002,Armchair,5,500,80,0.07,2325.0,1952.9999999999998,13,0,Daniel Cooper,Scotland
2024-11-14,P1000,Sofa,4,1200,300,0.21,3792.0,2844.0,10,0,Poppy Edwards,Midlands
2024-10-25,P1003,Coffee Table,2,200,40,0.22,312.0,249.60000000000002,8,0,Olivia Green,North East
2024-03-17,P1004,Bed Frame,2,1000,200,0.2,1600.0,1280.0,13,0,Henry Hughes,Midlands
2024-07-17,P1000,Sofa,3,1200,300,0.03,3492.0,2619.0,9,0,Grace Walker,Scotland
2025-08-09,P1005,Wardrobe,1,1500,250,0.04,1440.0,1200.0,9,1,Isla Davies,South East
2024-11-29,P1004,Bed Frame,1,1000,200,0.07,929.9999999999999,744.0,7,0,Liam Mitchell,Scotland
2023-04-23,P1008,TV Stand,3,350,60,0.06,987.0,817.8,6,0,Katie Adams,South West
2023-01-02,P1001,Dining Table,4,900,150,0.15,3060.0,2550.0,8,0,Isla Davies,London
2024-10-03,P1009,Chest of Drawers,1,600,100,0.24,456.0,380.0,7,0,Isla Davies,South West
2023-08-08,P1001,Dining Table,3,900,150,0.16,2268.0,1890.0,6,0,Theo Clarke,Scotland
2025-05-04,P1005,Wardrobe,2,1500,250,0.25,2250.0,1875.0,2,0,Katie Adams,Scotland
2024-01-20,P1009,Chest of Drawers,3,600,100,0.14,1548.0,1290.0,8,0,Quinn Bailey,South East
2024-12-30,P1006,Bookshelf,2,300,50,0.11,534.0,445.0,9,0,Sophie Hall,Midlands
2023-09-04,P1004,Bed Frame,1,1000,200,0.18,820.0000000000001,656.0,5,0,Ben Taylor,Scotland
2025-04-15,P1000,Sofa,2,1200,300,0.25,1800.0,1350.0,2,0,Quinn Bailey,Midlands
2023-07-22,P1005,Wardrobe,3,1500,250,0.07,4185.0,3487.4999999999995,3,0,Noah Jones,South East
2023-05-03,P1005,Wardrobe,5,1500,250,0.13,6525.0,5437.5,12,0,Theo Clarke,North East
2024-02-05,P1001,Dining Table,1,900,150,0.19,729.0,607.5,11,0,Jack Wilson,North West
2025-02-05,P1006,Bookshelf,3,300,50,0.16,756.0,630.0,3,1,Katie Adams,Scotland
2023-10-21,P1004,Bed Frame,4,1000,200,0.13,3480.0,2784.0,7,0,Riley Moore,London
2023-10-07,P1003,Coffee Table,4,200,40,0.03,776.0,620.8,3,0,Noah Jones,Scotland
2025-06-02,P1002,Armchair,5,500,80,0.16,2100.0,1764.0,7,0,Theo Clarke,North West
2023-07-17,P1006,Bookshelf,2,300,50,0.12,528.0,440.0,2,0,Riley Moore,South West
2025-09-08,P1004,Bed Frame,1,1000,200,0.15,850.0,680.0,8,0,Jack Wilson,Midlands
2025-01-21,P1006,Bookshelf,1,300,50,0.1,270.0,225.0,5,0,Sophie Hall,North East
2023-05-24,P1007,Office Desk,1,800,120,0.04,768.0,652.8,14,0,Olivia Green,Wales
2024-08-31,P1003,Coffee Table,1,200,40,0.25,150.0,120.0,10,0,Quinn Bailey,Wales
2023-07-06,P1002,Armchair,4,500,80,0.16,1680.0,1411.2,13,0,Charlotte Evans,North West
2024-04-08,P1008,TV Stand,1,350,60,0.07,325.5,269.7,6,0,Theo Clarke,North East
2024-10-21,P1001,Dining Table,1,900,150,0.21,711.0,592.5,14,0,Henry Hughes,North West
2025-02-02,P1003,Coffee Table,5,200,40,0.19,810.0,648.0,10,0,Grace Walker,London
2025-08-12,P1000,Sofa,3,1200,300,0.18,2952.0,2214.0,14,0,Ben Taylor,Midlands
2024-02-07,P1007,Office Desk,2,800,120,0.24,1216.0,1033.6,6,0,Theo Clarke,South East
2023-05-27,P1007,Office Desk,1,800,120,0.18,656.0,557.6,8,0,Noah Jones,Midlands
2025-05-13,P1006,Bookshelf,5,300,50,0.21,1185.0,987.5,12,0,Poppy Edwards,Scotland
2024-05-03,P1003,Coffee Table,5,200,40,0.06,940.0,752.0,4,0,Ella Robinson,South West
2025-07-17,P1001,Dining Table,3,900,150,0.22,2106.0,1755.0,4,0,Noah Jones,Midlands
2024-07-04,P1002,Armchair,4,500,80,0.05,1900.0,1596.0,6,0,Quinn Bailey,Wales
2023-12-04,P1000,Sofa,5,1200,300,0.07,5580.0,4185.0,10,0,Riley Moore,Midlands
2025-05-21,P1001,Dining Table,1,900,150,0.14,774.0,645.0,3,0,Olivia Green,London
2024-10-02,P1007,Office Desk,2,800,120,0.11,1424.0,1210.4,14,0,Quinn Bailey,North East
2024-04-17,P1007,Office Desk,5,800,120,0.15,3400.0,2890.0,3,0,Theo Clarke,Scotland
2023-05-31,P1008,TV Stand,1,350,60,0.18,287.0,237.8,8,0,Olivia Green,London
2023-09-20,P1007,Office Desk,5,800,120,0.07,3719.9999999999995,3162.0,2,0,Olivia Green,North West
2023-05-24,P1003,Coffee Table,5,200,40,0.05,950.0,760.0,6,0,Isla Davies,Wales
2023-12-12,P1003,Coffee Table,4,200,40,0.09,728.0,582.4,14,0,Isla Davies,Wales
2024-09-15,P1001,Dining Table,5,900,150,0.09,4095.0,3412.5,8,0,Jack Wilson,Midlands
2025-10-13,P1004,Bed Frame,4,1000,200,0.11,3560.0,2848.0,2,0,Katie Adams,North East
2025-05-30,P1008,TV Stand,5,350,60,0.24,1330.0,1102.0,9,0,Charlotte Evans,London
2023-01-02,P1002,Armchair,4,500,80,0.09,1820.0,1528.8,4,0,Henry Hughes,Scotland
2025-06-15,P1002,Armchair,1,500,80,0.17,415.0,348.59999999999997,7,0,Grace Walker,South East
2023-09-11,P1006,Bookshelf,4,300,50,0.13,1044.0,870.0,2,0,Noah Jones,North East
2024-03-28,P1008,TV Stand,3,350,60,0.18,861.0000000000001,713.4000000000001,14,0,Olivia Green,Scotland
2025-10-11,P1000,Sofa,3,1200,300,0.09,3276.0,2457.0,4,0,Grace Walker,Scotland
2023-01-09,P1006,Bookshelf,3,300,50,0.21,711.0,592.5,13,0,Sophie Hall,South West
2025-03-26,P1009,Chest of Drawers,4,600,100,0.19,1944.0000000000002,1620.0,9,0,Mia Brown,Wales
2023-07-27,P1000,Sofa,1,1200,300,0.14,1032.0,774.0,12,1,Liam Mitchell,North West
2024-02-08,P1006,Bookshelf,1,300,50,0.13,261.0,217.5,12,0,Noah Jones,Midlands
2023-06-01,P1007,Office Desk,4,800,120,0.13,2784.0,2366.4,12,1,Henry Hughes,North West
2023-02-23,P1006,Bookshelf,3,300,50,0.19,729.0,607.5,7,0,Poppy Edwards,South West
2024-09-19,P1006,Bookshelf,1,300,50,0.03,291.0,242.5,9,0,Katie Adams,Scotland
2024-08-09,P1002,Armchair,1,500,80,0.09,455.0,382.2,4,0,Olivia Green,London
2023-04-14,P1009,Chest of Drawers,5,600,100,0.16,2520.0,2100.0,2,0,Riley Moore,South West
2023-09-11,P1006,Bookshelf,4,300,50,0.24,912.0,760.0,7,0,Sophie Hall,South West
2024-05-24,P1001,Dining Table,3,900,150,0.09,2457.0,2047.5,8,0,Noah Jones,London
2023-04-09,P1007,Office Desk,3,800,120,0.2,1920.0,1632.0,14,0,Finley Thompson,South West
2023-06-02,P1004,Bed Frame,2,1000,200,0.24,1520.0,1216.0,10,0,Mia Brown,North East
2025-07-02,P1003,Coffee Table,5,200,40,0.02,980.0,784.0,7,0,Olivia Green,North East
2025-05-27,P1005,Wardrobe,3,1500,250,0.15,3825.0,3187.5,9,0,Mia Brown,North West
2023-12-04,P1006,Bookshelf,3,300,50,0.1,810.0,675.0,11,0,Isla Davies,South East
2025-04-01,P1007,Office Desk,1,800,120,0.21,632.0,537.2,3,0,Alice Carter,South West
2025-08-14,P1005,Wardrobe,2,1500,250,0.08,2760.0,2300.0,9,0,Henry Hughes,South East
2023-06-10,P1000,Sofa,4,1200,300,0.1,4320.0,3240.0,7,0,Alice Carter,Midlands
2025-03-11,P1003,Coffee Table,2,200,40,0.18,328.0,262.40000000000003,9,0,Alice Carter,London
2024-02-02,P1003,Coffee Table,1,200,40,0.2,160.0,128.0,14,0,Ella Robinson,Wales
2025-03-26,P1001,Dining Table,5,900,150,0.19,3645.0000000000005,3037.5,7,0,Sophie Hall,Midlands
2024-02-05,P1007,Office Desk,4,800,120,0.04,3072.0,2611.2,2,0,Isla Davies,North East
2024-10-01,P1002,Armchair,4,500,80,0.06,1880.0,1579.1999999999998,8,0,Theo Clarke,South East
2024-11-18,P1002,Armchair,5,500,80,0.15,2125.0,1785.0,7,0,Jack Wilson,South East
2024-04-04,P1009,Chest of Drawers,2,600,100,0.01,1188.0,990.0,2,0,Alice Carter,North West
2025-08-12,P1009,Chest of Drawers,1,600,100,0.19,486.00000000000006,405.0,14,0,Mia Brown,Scotland
2024-04-14,P1003,Coffee Table,5,200,40,0.13,870.0,696.0,11,0,Charlotte Evans,Midlands
2025-01-19,P1001,Dining Table,4,900,150,0.17,2988.0,2490.0,11,0,Jack Wilson,South East
2023-02-07,P1009,Chest of Drawers,3,600,100,0.2,1440.0,1200.0,11,0,Ben Taylor,North East
2023-08-18,P1008,TV Stand,2,350,60,0.19,567.0,469.8,9,0,Noah Jones,North East
2024-07-16,P1001,Dining Table,5,900,150,0.2,3600.0,3000.0,9,0,Quinn Bailey,North East
2024-03-13,P1000,Sofa,4,1200,300,0.06,4512.0,3384.0,2,0,Noah Jones,Wales
2023-01-27,P1001,Dining Table,1,900,150,0.23,693.0,577.5,5,0,Noah Jones,North East
2023-08-14,P1007,Office Desk,4,800,120,0.23,2464.0,2094.4,10,0,Ella Robinson,Scotland
2025-03-08,P1002,Armchair,2,500,80,0.21,790.0,663.6,10,0,Quinn Bailey,North West
2023-10-11,P1009,Chest of Drawers,3,600,100,0.18,1476.0,1230.0,6,0,Riley Moore,Wales
2025-05-28,P1007,Office Desk,1,800,120,0.22,624.0,530.4,7,0,Noah Jones,North West
2025-08-17,P1005,Wardrobe,5,1500,250,0.01,7425.0,6187.5,7,0,Henry Hughes,South East
2024-03-28,P1004,Bed Frame,5,1000,200,0.14,4300.0,3440.0,5,0,Olivia Green,Midlands
2025-10-16,P1007,Office Desk,4,800,120,0.06,3008.0,2556.7999999999997,9,1,Sophie Hall,Scotland
2025-03-26,P1005,Wardrobe,4,1500,250,0.17,4980.0,4150.0,14,0,Alice Carter,Wales
2024-10-20,P1005,Wardrobe,2,1500,250,0.22,2340.0,1950.0,2,0,Finley Thompson,Wales
2024-06-30,P1003,Coffee Table,2,200,40,0.03,388.0,310.4,10,0,Liam Mitchell,North West
2023-01-17,P1005,Wardrobe,5,1500,250,0.18,6150.000000000001,5125.0,10,0,Isla Davies,North West
2023-06-07,P1008,TV Stand,4,350,60,0.19,1134.0,939.6,6,1,Alice Carter,Midlands
2024-04-21,P1001,Dining Table,1,900,150,0.03,873.0,727.5,8,0,Henry Hughes,Scotland
2024-06-01,P1007,Office Desk,4,800,120,0.11,2848.0,2420.8,8,0,Riley Moore,Midlands
2023-04-09,P1007,Office Desk,2,800,120,0.25,1200.0,1020.0,2,0,Poppy Edwards,Wales
2023-10-07,P1000,Sofa,1,1200,300,0.04,1152.0,864.0,3,0,Charlotte Evans,North West
2024-05-11,P1003,Coffee Table,1,200,40,0.14,172.0,137.6,5,0,Mia Brown,Midlands
2023-10-29,P1004,Bed Frame,4,1000,200,0.15,3400.0,2720.0,5,0,Sophie Hall,North East
2023-06-30,P1007,Office Desk,5,800,120,0.22,3120.0,2652.0,7,0,Riley Moore,North East
2024-08-29,P1006,Bookshelf,4,300,50,0.11,1068.0,890.0,11,0,Riley Moore,North East
2024-11-30,P1005,Wardrobe,5,1500,250,0.11,6675.0,5562.5,11,1,Olivia Green,North West
2025-09-19,P1004,Bed Frame,2,1000,200,0.11,1780.0,1424.0,5,0,Isla Davies,Midlands
2023-07-10,P1001,Dining Table,4,900,150,0.18,2952.0,2460.0,10,0,Grace Walker,North East
2023-09-10,P1001,Dining Table,2,900,150,0.2,1440.0,1200.0,3,0,Riley Moore,London
2025-09-07,P1003,Coffee Table,5,200,40,0.08,920.0,736.0,14,0,Grace Walker,Wales
2025-07-16,P1004,Bed Frame,1,1000,200,0.17,830.0,664.0,13,0,Sophie Hall,North West
2023-05-08,P1001,Dining Table,5,900,150,0.02,4410.0,3675.0,14,0,Grace Walker,North West
2023-01-18,P1003,Coffee Table,3,200,40,0.16,504.0,403.2,14,0,Liam Mitchell,London
2024-07-19,P1004,Bed Frame,3,1000,200,0.2,2400.0,1920.0,10,0,Alice Carter,London
2024-07-23,P1004,Bed Frame,2,1000,200,0.21,1580.0,1264.0,3,0,Ben Taylor,South West
2024-11-16,P1008,TV Stand,5,350,60,0.02,1715.0,1421.0,12,0,Jack Wilson,London
2024-09-17,P1007,Office Desk,4,800,120,0.2,2560.0,2176.0,2,0,Daniel Cooper,South West
2025-05-03,P1009,Chest of Drawers,4,600,100,0.13,2088.0,1740.0,4,1,Jack Wilson,Wales
2025-08-19,P1007,Office Desk,1,800,120,0.2,640.0,544.0,3,0,Olivia Green,North East
2023-06-04,P1002,Armchair,3,500,80,0.19,1215.0,1020.6,3,0,Ben Taylor,North West
2024-05-04,P1007,Office Desk,2,800,120,0.01,1584.0,1346.4,13,0,Daniel Cooper,South East
2025-02-23,P1006,Bookshelf,1,300,50,0.1,270.0,225.0,14,1,Poppy Edwards,South East
2023-09-03,P1009,Chest of Drawers,5,600,100,0.08,2760.0,2300.0,6,1,Ben Taylor,London
2025-01-28,P1002,Armchair,2,500,80,0.1,900.0,756.0,12,0,Sophie Hall,North West
2024-06-21,P1001,Dining Table,5,900,150,0.07,4185.0,3487.4999999999995,3,0,Henry Hughes,South East
2025-07-09,P1008,TV Stand,1,350,60,0.18,287.0,237.8,10,0,Noah Jones,Midlands
2024-02-12,P1008,TV Stand,3,350,60,0.21,829.5,687.3000000000001,14,0,Mia Brown,Wales
2024-06-08,P1007,Office Desk,5,800,120,0.1,3600.0,3060.0,8,0,Jack Wilson,Scotland
2025-04-07,P1004,Bed Frame,1,1000,200,0.17,830.0,664.0,7,0,Sophie Hall,South West
2025-06-21,P1009,Chest of Drawers,5,600,100,0.16,2520.0,2100.0,9,0,Daniel Cooper,Midlands
2023-02-05,P1003,Coffee Table,3,200,40,0.16,504.0,403.2,7,0,Isla Davies,South East
2024-11-15,P1002,Armchair,1,500,80,0.24,380.0,319.2,10,0,Henry Hughes,London
2023-01-20,P1008,TV Stand,4,350,60,0.08,1288.0,1067.2,3,0,Charlotte Evans,London
