Order Date,Product ID,Product,Quantity,Price,Cost,Discount,Revenue,Profit,Delivery Time (Days),Returned,Customer Name,Region,Discount Amount,Elasticity Score,Discount Action,Customer Segment,Profit Per Capita,Regional Population,Latitude,Longitude
2025-01-17,P1001,Dining Table,5,900,150,0.24,3420.0,2850.0,5,0,Ben Taylor,Midlands,1080.0,-0.19012192601777267,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2025-05-06,P1004,Bed Frame,1,1000,200,0.16,840.0,672.0,10,0,Charlotte Evans,Midlands,160.0,-1.2945817990531299,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2024-04-19,P1001,Dining Table,2,900,150,0.22,1404.0,1170.0,8,0,Mia Brown,North West,396.0,-0.19012192601777267,Stop Discounting,High-Value Repeat,0.15352933163457455,7737414,53.9,-2.5
2024-05-25,P1007,Office Desk,4,800,120,0.15,2720.0,2312.0,4,0,Liam Mitchell,London,480.0,0.6690553745928339,Keep Discounting,High-Value Repeat,0.12743413010014815,9089736,51.5074,-0.1278
2024-11-30,P1005,Wardrobe,2,1500,250,0.18,2460.0,2050.0,2,0,Liam Mitchell,Midlands,540.0,-0.01323350519924152,Stop Discounting,High-Value Repeat,0.1026457890088573,11250368,52.6,-1.5
2025-09-02,P1004,Bed Frame,1,1000,200,0.2,800.0,640.0,10,1,Charlotte Evans,London,200.0,-1.2945817990531299,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2023-07-09,P1008,TV Stand,3,350,60,0.24,798.0,661.2,5,0,Henry Hughes,London,252.0,0.018042399639151857,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2025-08-15,P1007,Office Desk,3,800,120,0.2,1920.0,1632.0,3,0,Mia Brown,North West,480.0,0.6690553745928339,Keep Discounting,High-Value Repeat,0.15352933163457455,7737414,53.9,-2.5
2024-11-17,P1008,TV Stand,1,350,60,0.21,276.5,229.1,2,0,Henry Hughes,North East,73.5,0.018042399639151857,Stop Discounting,Occasional,0.41176225550390155,2760678,55.1,-1.7
2025-08-15,P1000,Sofa,5,1200,300,0.18,4920.0,3690.000000000001,7,0,Henry Hughes,South West,1080.0,-0.42994966442953036,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2024-07-16,P1005,Wardrobe,3,1500,250,0.15,3825.0,3187.5,10,0,Mia Brown,North West,675.0,-0.01323350519924152,Stop Discounting,High-Value Repeat,0.15352933163457455,7737414,53.9,-2.5
2025-04-11,P1001,Dining Table,4,900,150,0.24,2736.0,2280.0,12,0,Grace Walker,North East,864.0,-0.19012192601777267,Stop Discounting,Occasional,0.41176225550390155,2760678,55.1,-1.7
2024-10-08,P1003,Coffee Table,3,200,40,0.19,486.00000000000006,388.8,2,0,Poppy Edwards,Scotland,114.0,-1.0276747871859784,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2023-01-21,P1007,Office Desk,3,800,120,0.14,2064.0,1754.4,13,0,Ella Robinson,North West,336.0,0.6690553745928339,Keep Discounting,High-Value Repeat,0.15352933163457455,7737414,53.9,-2.5
2025-04-20,P1002,Armchair,3,500,80,0.11,1335.0,1121.4,5,1,Henry Hughes,North West,165.0,-2.0750353334189904,Stop Discounting,Occasional,0.15352933163457455,7737414,53.9,-2.5
2023-06-16,P1009,Chest of Drawers,1,600,100,0.05,570.0,475.0,12,0,Noah Jones,Scotland,30.0,-0.48018702906350963,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2024-01-23,P1005,Wardrobe,4,1500,250,0.18,4920.0,4100.0,6,0,Henry Hughes,London,1080.0,-0.01323350519924152,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2024-08-23,P1008,TV Stand,5,350,60,0.06,1645.0,1363.0,8,0,Poppy Edwards,South East,105.0,0.018042399639151857,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2023-11-12,P1000,Sofa,1,1200,300,0.18,984.0,738.0,14,1,Daniel Cooper,London,216.0,-0.42994966442953036,Stop Discounting,High-Value Repeat,0.12743413010014815,9089736,51.5074,-0.1278
2023-01-14,P1002,Armchair,2,500,80,0.15,850.0,714.0,10,0,Noah Jones,South East,150.0,-2.0750353334189904,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2023-08-30,P1006,Bookshelf,2,300,50,0.22,468.0,390.0,11,0,Mia Brown,Wales,132.0,-0.4337330301570941,Stop Discounting,High-Value Repeat,0.37765702488027136,3186581,52.3,-3.6
2025-02-15,P1008,TV Stand,3,350,60,0.23,808.5,669.9,2,0,Isla Davies,South West,241.5,0.018042399639151857,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2024-07-18,P1001,Dining Table,4,900,150,0.02,3528.0,2940.0,14,0,Riley Moore,North West,72.0,-0.19012192601777267,Stop Discounting,High-Value Repeat,0.15352933163457455,7737414,53.9,-2.5
2025-06-16,P1005,Wardrobe,3,1500,250,0.09,4095.0,3412.5,3,0,Daniel Cooper,North West,405.0,-0.01323350519924152,Stop Discounting,High-Value Repeat,0.15352933163457455,7737414,53.9,-2.5
2023-04-02,P1006,Bookshelf,2,300,50,0.23,462.0,385.0,4,0,Finley Thompson,Wales,138.0,-0.4337330301570941,Stop Discounting,Occasional,0.37765702488027136,3186581,52.3,-3.6
2025-08-13,P1000,Sofa,4,1200,300,0.18,3936.000000000001,2952.0,6,0,Isla Davies,London,864.0,-0.42994966442953036,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2024-05-23,P1008,TV Stand,4,350,60,0.0,1400.0,1160.0,2,1,Daniel Cooper,North West,0.0,0.018042399639151857,Stop Discounting,High-Value Repeat,0.15352933163457455,7737414,53.9,-2.5
2025-02-14,P1008,TV Stand,4,350,60,0.18,1148.0,951.2,12,0,Theo Clarke,Midlands,252.0,0.018042399639151857,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2023-02-04,P1002,Armchair,5,500,80,0.05,2375.0,1995.0,12,0,Liam Mitchell,London,125.0,-2.0750353334189904,Stop Discounting,High-Value Repeat,0.12743413010014815,9089736,51.5074,-0.1278
2023-07-25,P1008,TV Stand,2,350,60,0.08,644.0,533.6,5,0,Quinn Bailey,South West,56.0,0.018042399639151857,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2025-10-22,P1009,Chest of Drawers,4,600,100,0.17,1992.0,1660.0,12,0,Katie Adams,Wales,408.0,-0.48018702906350963,Stop Discounting,High-Value Repeat,0.37765702488027136,3186581,52.3,-3.6
2025-10-18,P1000,Sofa,2,1200,300,0.13,2088.0,1566.0,3,0,Daniel Cooper,North East,312.0,-0.42994966442953036,Stop Discounting,High-Value Repeat,0.41176225550390155,2760678,55.1,-1.7
2024-07-19,P1004,Bed Frame,3,1000,200,0.19,2430.0,1944.0,3,0,Henry Hughes,South West,570.0,-1.2945817990531299,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2024-12-03,P1003,Coffee Table,2,200,40,0.01,396.0,316.8,10,0,Sophie Hall,South East,4.0,-1.0276747871859784,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2024-02-06,P1001,Dining Table,3,900,150,0.04,2592.0,2160.0,4,0,Poppy Edwards,South East,108.0,-0.19012192601777267,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2024-12-30,P1008,TV Stand,5,350,60,0.18,1435.0,1189.0,12,0,Ella Robinson,London,315.0,0.018042399639151857,Stop Discounting,High-Value Repeat,0.12743413010014815,9089736,51.5074,-0.1278
2023-06-11,P1007,Office Desk,1,800,120,0.19,648.0,550.8000000000001,4,0,Riley Moore,London,152.0,0.6690553745928339,Keep Discounting,High-Value Repeat,0.12743413010014815,9089736,51.5074,-0.1278
2023-07-21,P1004,Bed Frame,5,1000,200,0.04,4800.0,3840.0,3,0,Quinn Bailey,Scotland,200.0,-1.2945817990531299,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2025-09-22,P1003,Coffee Table,5,200,40,0.22,780.0,624.0,9,0,Riley Moore,Midlands,220.0,-1.0276747871859784,Stop Discounting,High-Value Repeat,0.1026457890088573,11250368,52.6,-1.5
2023-09-27,P1004,Bed Frame,1,1000,200,0.05,950.0,760.0,6,0,Mia Brown,North East,50.0,-1.2945817990531299,Stop Discounting,High-Value Repeat,0.41176225550390155,2760678,55.1,-1.7
2025-03-26,P1007,Office Desk,2,800,120,0.08,1472.0,1251.2,2,0,Quinn Bailey,Wales,128.0,0.6690553745928339,Keep Discounting,Occasional,0.37765702488027136,3186581,52.3,-3.6
2024-03-31,P1001,Dining Table,1,900,150,0.21,711.0,592.5,7,0,Henry Hughes,Midlands,189.0,-0.19012192601777267,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2025-10-13,P1001,Dining Table,3,900,150,0.22,2106.0,1755.0,3,0,Katie Adams,South West,594.0,-0.19012192601777267,Stop Discounting,High-Value Repeat,0.1951128029549917,5889695,50.95,-3.1
2023-10-23,P1009,Chest of Drawers,2,600,100,0.18,984.0,820.0000000000001,8,0,Riley Moore,Midlands,216.0,-0.48018702906350963,Stop Discounting,High-Value Repeat,0.1026457890088573,11250368,52.6,-1.5
2024-12-20,P1009,Chest of Drawers,4,600,100,0.1,2160.0,1800.0,7,0,Henry Hughes,South West,240.0,-0.48018702906350963,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2023-12-04,P1001,Dining Table,3,900,150,0.02,2646.0,2205.0,9,0,Ben Taylor,Midlands,54.0,-0.19012192601777267,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2025-05-28,P1001,Dining Table,5,900,150,0.03,4365.0,3637.5,9,0,Ben Taylor,North East,135.0,-0.19012192601777267,Stop Discounting,Occasional,0.41176225550390155,2760678,55.1,-1.7
2025-03-02,P1001,Dining Table,3,900,150,0.16,2268.0,1890.0,3,0,Quinn Bailey,Midlands,432.0,-0.19012192601777267,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2023-08-05,P1004,Bed Frame,4,1000,200,0.02,3920.0,3136.0,9,1,Poppy Edwards,Midlands,80.0,-1.2945817990531299,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2025-02-02,P1008,TV Stand,4,350,60,0.0,1400.0,1160.0,12,0,Ella Robinson,Wales,0.0,0.018042399639151857,Stop Discounting,High-Value Repeat,0.37765702488027136,3186581,52.3,-3.6
2023-07-07,P1003,Coffee Table,2,200,40,0.02,392.0,313.6,13,1,Poppy Edwards,Scotland,8.0,-1.0276747871859784,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2024-01-15,P1003,Coffee Table,3,200,40,0.08,552.0,441.6,9,0,Daniel Cooper,South East,48.0,-1.0276747871859784,Stop Discounting,High-Value Repeat,0.12677922360209157,9642942,51.15,-0.15
2024-05-07,P1006,Bookshelf,2,300,50,0.22,468.0,390.0,5,0,Liam Mitchell,Scotland,132.0,-0.4337330301570941,Stop Discounting,High-Value Repeat,0.20535641529502965,5546900,56.4907,-4.2026
2023-01-15,P1006,Bookshelf,3,300,50,0.23,693.0,577.5,3,0,Olivia Green,South West,207.0,-0.4337330301570941,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2023-03-06,P1001,Dining Table,2,900,150,0.04,1728.0,1440.0,9,0,Ben Taylor,Scotland,72.0,-0.19012192601777267,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2024-06-04,P1005,Wardrobe,4,1500,250,0.2,4800.0,4000.0,6,0,Daniel Cooper,Midlands,1200.0,-0.01323350519924152,Stop Discounting,High-Value Repeat,0.1026457890088573,11250368,52.6,-1.5
2024-10-09,P1003,Coffee Table,2,200,40,0.24,304.0,243.2,13,0,Grace Walker,Wales,96.0,-1.0276747871859784,Stop Discounting,Occasional,0.37765702488027136,3186581,52.3,-3.6
2024-08-15,P1002,Armchair,1,500,80,0.14,430.0,361.2,4,0,Noah Jones,London,70.0,-2.0750353334189904,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2024-01-27,P1004,Bed Frame,4,1000,200,0.04,3840.0,3072.0,5,0,Olivia Green,Midlands,160.0,-1.2945817990531299,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2024-02-23,P1001,Dining Table,3,900,150,0.16,2268.0,1890.0,4,0,Olivia Green,South East,432.0,-0.19012192601777267,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2023-10-16,P1000,Sofa,5,1200,300,0.05,5700.0,4275.0,4,0,Riley Moore,South West,300.0,-0.42994966442953036,Stop Discounting,High-Value Repeat,0.1951128029549917,5889695,50.95,-3.1
2024-01-14,P1001,Dining Table,2,900,150,0.13,1566.0,1305.0,10,0,Henry Hughes,London,234.0,-0.19012192601777267,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2023-08-19,P1006,Bookshelf,5,300,50,0.2,1200.0,1000.0,13,0,Poppy Edwards,Wales,300.0,-0.4337330301570941,Stop Discounting,Occasional,0.37765702488027136,3186581,52.3,-3.6
2025-10-14,P1003,Coffee Table,1,200,40,0.12,176.0,140.8,12,0,Mia Brown,South West,24.0,-1.0276747871859784,Stop Discounting,High-Value Repeat,0.1951128029549917,5889695,50.95,-3.1
2023-02-10,P1002,Armchair,2,500,80,0.1,900.0,756.0,13,0,Mia Brown,South West,100.0,-2.0750353334189904,Stop Discounting,High-Value Repeat,0.1951128029549917,5889695,50.95,-3.1
2023-05-15,P1006,Bookshelf,5,300,50,0.17,1245.0,1037.5,11,1,Isla Davies,Wales,255.0,-0.4337330301570941,Stop Discounting,Occasional,0.37765702488027136,3186581,52.3,-3.6
2023-07-20,P1004,Bed Frame,3,1000,200,0.21,2370.0,1896.0,10,0,Noah Jones,Wales,630.0,-1.2945817990531299,Stop Discounting,Occasional,0.37765702488027136,3186581,52.3,-3.6
2025-02-18,P1002,Armchair,2,500,80,0.21,790.0,663.6,7,0,Grace Walker,North West,210.0,-2.0750353334189904,Stop Discounting,Occasional,0.15352933163457455,7737414,53.9,-2.5
2025-07-18,P1003,Coffee Table,3,200,40,0.09,546.0,436.8,12,0,Ben Taylor,South West,54.0,-1.0276747871859784,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2024-05-17,P1005,Wardrobe,2,1500,250,0.23,2310.0,1925.0,2,0,Ben Taylor,South West,690.0,-0.01323350519924152,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2024-02-11,P1009,Chest of Drawers,2,600,100,0.15,1020.0,850.0,6,0,Poppy Edwards,London,180.0,-0.48018702906350963,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2025-03-15,P1000,Sofa,4,1200,300,0.15,4080.0,3060.0,9,0,Quinn Bailey,South East,720.0,-0.42994966442953036,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2023-04-09,P1002,Armchair,5,500,80,0.14,2150.0,1806.0,12,0,Charlotte Evans,South East,350.0,-2.0750353334189904,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2024-11-14,P1003,Coffee Table,4,200,40,0.05,760.0,608.0,6,0,Mia Brown,South East,40.0,-1.0276747871859784,Stop Discounting,High-Value Repeat,0.12677922360209157,9642942,51.15,-0.15
2024-12-26,P1009,Chest of Drawers,1,600,100,0.11,534.0,445.0,3,1,Henry Hughes,South West,66.0,-0.48018702906350963,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2025-08-18,P1009,Chest of Drawers,1,600,100,0.04,576.0,480.0,8,0,Charlotte Evans,Scotland,24.0,-0.48018702906350963,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2024-09-04,P1009,Chest of Drawers,5,600,100,0.25,2250.0,1875.0,4,0,Sophie Hall,North East,750.0,-0.48018702906350963,Stop Discounting,Occasional,0.41176225550390155,2760678,55.1,-1.7
2024-10-04,P1004,Bed Frame,4,1000,200,0.17,3320.0,2656.0,3,0,Grace Walker,North East,680.0,-1.2945817990531299,Stop Discounting,Occasional,0.41176225550390155,2760678,55.1,-1.7
2025-10-25,P1003,Coffee Table,3,200,40,0.18,492.00000000000006,393.6,4,0,Isla Davies,Scotland,108.0,-1.0276747871859784,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2024-05-17,P1002,Armchair,1,500,80,0.04,480.0,403.2,6,0,Jack Wilson,Wales,20.0,-2.0750353334189904,Stop Discounting,Occasional,0.37765702488027136,3186581,52.3,-3.6
2025-02-05,P1005,Wardrobe,3,1500,250,0.0,4500.0,3750.0,13,0,Charlotte Evans,South West,0.0,-0.01323350519924152,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2024-02-02,P1007,Office Desk,1,800,120,0.22,624.0,530.4,7,0,Theo Clarke,South East,176.0,0.6690553745928339,Keep Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2025-05-20,P1001,Dining Table,5,900,150,0.07,4185.0,3487.4999999999995,14,1,Riley Moore,Midlands,315.0,-0.19012192601777267,Stop Discounting,High-Value Repeat,0.1026457890088573,11250368,52.6,-1.5
2025-03-05,P1008,TV Stand,5,350,60,0.14,1505.0,1247.0,11,0,Isla Davies,London,245.0,0.018042399639151857,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2024-01-28,P1005,Wardrobe,3,1500,250,0.13,3915.0,3262.5,10,0,Charlotte Evans,Midlands,585.0,-0.01323350519924152,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2023-07-26,P1005,Wardrobe,2,1500,250,0.17,2490.0,2075.0,12,0,Jack Wilson,London,510.0,-0.01323350519924152,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2025-06-10,P1007,Office Desk,4,800,120,0.22,2496.0,2121.6,10,0,Riley Moore,North West,704.0,0.6690553745928339,Keep Discounting,High-Value Repeat,0.15352933163457455,7737414,53.9,-2.5
2025-05-13,P1009,Chest of Drawers,3,600,100,0.1,1620.0,1350.0,6,0,Quinn Bailey,South West,180.0,-0.48018702906350963,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2025-01-12,P1008,TV Stand,2,350,60,0.02,686.0,568.4,2,0,Jack Wilson,South East,14.0,0.018042399639151857,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2024-07-17,P1002,Armchair,4,500,80,0.23,1540.0,1293.6,4,0,Isla Davies,South East,460.0,-2.0750353334189904,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2025-10-17,P1001,Dining Table,5,900,150,0.17,3735.0,3112.5,8,0,Riley Moore,London,765.0,-0.19012192601777267,Stop Discounting,High-Value Repeat,0.12743413010014815,9089736,51.5074,-0.1278
2023-04-06,P1004,Bed Frame,4,1000,200,0.21,3160.0,2528.0,14,0,Jack Wilson,Midlands,840.0,-1.2945817990531299,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2024-04-29,P1005,Wardrobe,3,1500,250,0.17,3735.0,3112.5,12,0,Grace Walker,North West,765.0,-0.01323350519924152,Stop Discounting,Occasional,0.15352933163457455,7737414,53.9,-2.5
2023-08-19,P1008,TV Stand,4,350,60,0.0,1400.0,1160.0,8,0,Poppy Edwards,North West,0.0,0.018042399639151857,Stop Discounting,Occasional,0.15352933163457455,7737414,53.9,-2.5
2025-01-18,P1000,Sofa,2,1200,300,0.11,2136.0,1602.0,10,0,Charlotte Evans,Scotland,264.0,-0.42994966442953036,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2024-06-24,P1004,Bed Frame,1,1000,200,0.23,770.0,616.0,8,0,Ben Taylor,South West,230.0,-1.2945817990531299,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2024-06-08,P1005,Wardrobe,4,1500,250,0.21,4740.0,3950.0,3,0,Ella Robinson,North West,1260.0,-0.01323350519924152,Stop Discounting,High-Value Repeat,0.15352933163457455,7737414,53.9,-2.5
2024-07-31,P1002,Armchair,5,500,80,0.16,2100.0,1764.0,13,0,Olivia Green,Scotland,400.0,-2.0750353334189904,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2024-11-12,P1008,TV Stand,3,350,60,0.16,882.0,730.8,2,0,Alice Carter,South East,168.0,0.018042399639151857,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2024-07-10,P1001,Dining Table,4,900,150,0.23,2772.0,2310.0,8,0,Ella Robinson,South West,828.0,-0.19012192601777267,Stop Discounting,High-Value Repeat,0.1951128029549917,5889695,50.95,-3.1
2025-10-09,P1005,Wardrobe,3,1500,250,0.13,3915.0,3262.5,14,0,Sophie Hall,London,585.0,-0.01323350519924152,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2024-10-07,P1006,Bookshelf,5,300,50,0.24,1140.0,950.0,6,0,Ella Robinson,South West,360.0,-0.4337330301570941,Stop Discounting,High-Value Repeat,0.1951128029549917,5889695,50.95,-3.1
2025-03-06,P1004,Bed Frame,5,1000,200,0.13,4350.0,3480.0,4,0,Liam Mitchell,South West,650.0,-1.2945817990531299,Stop Discounting,High-Value Repeat,0.1951128029549917,5889695,50.95,-3.1
2023-07-09,P1005,Wardrobe,3,1500,250,0.25,3375.0,2812.5,8,0,Grace Walker,Midlands,1125.0,-0.01323350519924152,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2024-09-24,P1001,Dining Table,2,900,150,0.11,1602.0,1335.0,5,0,Liam Mitchell,Scotland,198.0,-0.19012192601777267,Stop Discounting,High-Value Repeat,0.20535641529502965,5546900,56.4907,-4.2026
2024-09-19,P1009,Chest of Drawers,3,600,100,0.16,1512.0,1260.0,13,0,Ella Robinson,Midlands,288.0,-0.48018702906350963,Stop Discounting,High-Value Repeat,0.1026457890088573,11250368,52.6,-1.5
2025-08-30,P1002,Armchair,3,500,80,0.08,1380.0,1159.2,11,0,Finley Thompson,Scotland,120.0,-2.0750353334189904,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2024-12-10,P1000,Sofa,5,1200,300,0.17,4980.0,3735.0,14,0,Finley Thompson,North East,1020.0,-0.42994966442953036,Stop Discounting,Occasional,0.41176225550390155,2760678,55.1,-1.7
2024-10-10,P1006,Bookshelf,2,300,50,0.22,468.0,390.0,4,0,Henry Hughes,North West,132.0,-0.4337330301570941,Stop Discounting,Occasional,0.15352933163457455,7737414,53.9,-2.5
2023-11-14,P1002,Armchair,5,500,80,0.07,2325.0,1953.0,13,0,Daniel Cooper,Scotland,175.0,-2.0750353334189904,Stop Discounting,High-Value Repeat,0.20535641529502965,5546900,56.4907,-4.2026
2024-11-14,P1000,Sofa,4,1200,300,0.21,3792.0,2844.0,10,0,Poppy Edwards,Midlands,1008.0,-0.42994966442953036,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2024-10-25,P1003,Coffee Table,2,200,40,0.22,312.0,249.6,8,0,Olivia Green,North East,88.0,-1.0276747871859784,Stop Discounting,Occasional,0.41176225550390155,2760678,55.1,-1.7
2024-03-17,P1004,Bed Frame,2,1000,200,0.2,1600.0,1280.0,13,0,Henry Hughes,Midlands,400.0,-1.2945817990531299,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2024-07-17,P1000,Sofa,3,1200,300,0.03,3492.0,2619.0,9,0,Grace Walker,Scotland,108.0,-0.42994966442953036,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2025-08-09,P1005,Wardrobe,1,1500,250,0.04,1440.0,1200.0,9,1,Isla Davies,South East,60.0,-0.01323350519924152,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2024-11-29,P1004,Bed Frame,1,1000,200,0.07,930.0,744.0,7,0,Liam Mitchell,Scotland,70.0,-1.2945817990531299,Stop Discounting,High-Value Repeat,0.20535641529502965,5546900,56.4907,-4.2026
2023-04-23,P1008,TV Stand,3,350,60,0.06,987.0,817.8,6,0,Katie Adams,South West,63.0,0.018042399639151857,Stop Discounting,High-Value Repeat,0.1951128029549917,5889695,50.95,-3.1
